view_count,cart_additions,time_spent,price,discount,rating,past_purchases,avg_spent,purchased
7,4,63,2241,48,1.6494600523534149,40,1975,1
6,1,113,1229,4,3.402824046205848,34,4874,0
2,2,122,4568,20,1.776705999466301,6,2361,1
5,0,238,4820,19,4.54324227801934,47,2320,1
9,0,30,4920,67,3.0961094986402014,14,2131,1
6,4,223,344,66,4.945400801793374,0,2187,1
1,0,270,3578,43,2.2523504692689795,40,882,1
3,1,236,2779,6,2.279241048238328,4,3506,1
4,0,257,2979,64,4.504725929200108,2,1712,1
1,1,140,350,16,1.088124227358081,26,3645,1
2,4,198,4390,8,1.6965630249122197,21,2566,1
1,3,173,3461,8,3.5577584931273263,32,3733,1
3,0,184,1898,29,1.2246431096291333,22,4515,1
2,3,56,4188,0,1.1146926440214844,27,4211,1
3,3,203,4286,58,4.838647236639277,41,3102,1
6,2,45,1527,15,1.3854018982582232,44,4924,1
3,0,281,3588,25,1.2145390707314285,2,1994,1
6,0,17,3718,27,4.734143141409355,7,2369,0
4,2,255,3751,39,2.8984383920729355,33,3115,1
3,0,286,1017,10,1.1712596441010836,28,493,1
3,4,288,2237,25,1.2089692086763728,22,3901,1
4,3,94,4967,10,1.5723817494436383,24,4973,1
8,1,161,1425,65,2.971673746138261,48,3851,1
1,0,115,2139,40,4.219835025052241,33,318,1
3,1,13,1032,54,4.967054371851937,31,4869,1
4,3,121,3680,53,3.083618059246293,31,1985,1
1,3,25,583,41,3.4338257951898257,9,250,1
9,4,86,2445,2,1.867736201095736,32,138,1
5,0,135,2504,51,3.9242814682808325,2,3157,1
7,1,168,1963,68,4.787473272754658,37,3147,1
2,0,83,4628,69,3.0809361655221164,27,1474,1
1,0,62,2474,53,4.7562701390686275,5,1899,1
8,3,187,1088,35,1.685263713622374,35,373,1
7,1,73,830,11,3.3537776252674973,18,4817,0
4,4,182,4439,25,1.2662947296496379,5,2020,1
8,2,54,2912,61,1.3812393815100878,34,4023,1
2,3,147,3919,8,2.257607888382687,41,3414,1
4,0,17,1371,61,1.7073517261215012,49,1179,1
9,2,70,1175,10,2.3252931384176754,30,3399,1
5,1,33,3589,63,2.0324660450556995,36,1587,1
8,3,12,4796,22,1.2281143481860952,43,2606,1
7,1,13,1577,2,2.3373398611226572,18,3681,0
8,3,154,4823,42,1.6432734053011782,28,3290,1
7,1,74,3208,58,2.622204719442663,6,142,1
4,0,105,1678,59,4.72990526567458,14,3331,1
